subject_id	subject_label	predicate_id	object_id	object_label	match_type	confidence
subject:repository	repository	skos:exactMatch	codemeta:repository	repository		1
https://schema.org/MediaObject	Multimedia					
https://schema.org/DigitalDocument	Document					
https://schema.org/ScholarlyArticle	Publication	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#journalarticle		SSSOM:HumanCurated	1
http://purl.org/coar/resource_type/NHD0-W6SY	Questionnaire/survey					
https://schema.org/Dataset	Dataset	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#dataset		SSSOM:HumanCurated	1
https://schema.org/ImageObject	Image	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#image		SSSOM:HumanCurated	1
http://semanticscience.org/resource/SIO_000510.	Model	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#model		SSSOM:HumanCurated	1
https://vocabularies.coar-repositories.org/resource_types/c_ab20/	Data management plan	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#outputmanagementplan		SSSOM:HumanCurated	1
https://schema.org/DefinedTermSet	Terminology Artifact					
http://purl.obolibrary.org/obo/NCIT_C42753	Protocol or Workflow					
https://vocabularies.coar-repositories.org/resource_types/c_1843/	Other Object Type					
https://schema.org/CreativeWork	Object Type Agnostic					
	Object Type Not Found					
https://schema.org/PhysicalObject	Physical object/material	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#physicalobject		SSSOM:HumanCurated	1
https://schema.org/SoftwareSourceCode	Software Source Code		https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#software			
https://schema.org/SoftwareApplication	Software Application	skos:exactMatch			SSSOM:HumanCurated	1
